per_cost,travel_days,photo_num,person_num_三五好友,person_num_亲子,person_num_家庭,person_num_情侣,person_num_独自一人,person_num_闺蜜,is_weekend,title_length,z,playmode1,playmode2
3000,3,223,1,0,0,0,0,0,0,23,0.0,1,1.0
2700,7,137,1,0,0,0,0,0,1,14,0.0,1,1.0
1000,3,102,1,0,0,0,0,0,0,28,0.0,1,1.0
2700,3,114,0,0,0,0,0,1,0,18,1.0,1,1.0
2100,5,109,1,0,0,0,0,0,0,16,1.0,1,1.0
3000,5,304,0,0,0,1,0,0,0,18,1.0,1,1.0
3000,5,90,0,0,0,0,0,1,0,7,1.0,1,1.0
2676,5,136,0,1,0,0,0,0,0,39,1.0,1,1.0
3000,4,140,1,0,0,0,0,0,0,15,1.0,0,1.0
1900,5,138,0,0,0,0,1,0,1,10,1.0,1,1.0
2000,3,120,0,0,0,0,1,0,1,6,1.0,0,1.0
3000,3,211,0,0,0,0,0,1,0,31,1.0,1,1.0
5500,4,218,0,0,1,0,0,0,0,17,1.0,1,1.0
3000,1,208,1,0,0,0,0,0,0,20,0.0,1,1.0
1000,1,30,0,0,0,1,0,0,1,19,1.0,1,0.0
2500,5,110,0,0,0,1,0,0,0,8,1.0,1,1.0
3000,4,209,1,0,0,0,0,0,1,11,0.0,0,1.0
800,5,145,1,0,0,0,0,0,1,9,1.0,1,0.0
2056,5,158,0,0,1,0,0,0,1,10,0.0,1,1.0
1200,3,96,0,0,0,0,0,1,0,13,0.0,1,1.0
2000,4,74,0,0,1,0,0,0,0,17,0.0,1,1.0
2000,4,86,0,0,0,1,0,0,0,14,0.0,1,0.0
2500,4,75,0,0,0,0,0,1,0,12,0.0,0,1.0
1200,4,96,1,0,0,0,0,0,0,19,0.0,0,1.0
2000,5,96,0,0,0,1,0,0,0,20,1.0,1,1.0
3043,7,155,1,0,0,0,0,0,1,13,1.0,1,1.0
1500,5,142,0,0,0,0,0,1,0,15,1.0,0,1.0
2000,3,207,0,0,0,0,1,0,1,22,0.0,1,1.0
3000,6,247,0,1,0,0,0,0,1,7,0.0,1,1.0
1500,4,28,0,1,0,0,0,0,0,12,0.0,0,1.0
700,4,188,0,0,0,0,0,0,0,21,0.0,1,1.0
3000,4,128,0,0,0,1,0,0,1,7,1.0,1,1.0
1000,3,42,1,0,0,0,0,0,0,15,1.0,1,1.0
1600,4,100,1,0,0,0,0,0,1,6,1.0,1,0.0
5000,7,54,0,1,0,0,0,0,0,14,0.0,0,1.0
1500,2,136,1,0,0,0,0,0,0,27,1.0,1,1.0
2000,4,129,0,0,0,1,0,0,0,12,0.0,0,1.0
1200,4,119,0,0,0,0,1,0,1,29,0.0,1,1.0
3500,4,147,0,0,0,0,0,1,1,17,1.0,1,1.0
1500,5,78,0,0,1,0,0,0,0,18,1.0,1,0.0
1000,2,55,0,0,0,1,0,0,1,12,1.0,1,1.0
180,2,190,1,0,0,0,0,0,0,15,0.0,1,1.0
300,1,57,1,0,0,0,0,0,1,16,0.0,1,1.0
1450,3,49,1,0,0,0,0,0,1,30,1.0,1,1.0
2500,3,97,0,0,0,1,0,0,1,11,0.0,1,1.0
3000,3,124,0,0,0,0,0,1,1,5,0.0,0,1.0
800,2,34,1,0,0,0,0,0,0,10,1.0,0,1.0
2000,4,16,0,0,0,1,0,0,0,16,1.0,1,1.0
1500,4,49,0,0,0,0,1,0,0,6,0.0,0,1.0
1028,3,31,1,0,0,0,0,0,0,28,1.0,1,1.0
200,1,9,0,1,0,0,0,0,1,16,0.0,0,1.0
2000,4,148,0,0,0,0,0,1,0,11,1.0,1,1.0
1000,4,39,0,0,0,0,1,0,0,11,0.0,1,1.0
3500,4,294,0,0,1,0,0,0,1,15,1.0,1,1.0
2000,5,314,0,0,0,1,0,0,0,24,1.0,1,1.0
3000,4,249,1,0,0,0,0,0,0,19,0.0,1,1.0
2500,7,218,0,0,1,0,0,0,0,9,1.0,1,1.0
12000,5,339,1,0,0,0,0,0,0,23,1.0,1,1.0
3000,3,178,1,0,0,0,0,0,0,23,0.0,1,1.0
6000,5,334,1,0,0,0,0,0,0,12,1.0,1,1.0
5000,5,283,0,0,0,1,0,0,0,12,1.0,1,1.0
5000,3,420,1,0,0,0,0,0,1,36,0.0,1,1.0
7000,6,378,1,0,0,0,0,0,0,17,1.0,1,1.0
7000,1,372,0,0,1,0,0,0,1,19,1.0,0,1.0
5000,8,157,0,1,0,0,0,0,1,25,1.0,1,1.0
3000,5,193,0,1,0,0,0,0,0,24,1.0,1,1.0
5000,4,190,0,0,1,0,0,0,0,15,0.0,0,1.0
3500,4,228,1,0,0,0,0,0,1,25,0.0,1,1.0
6000,6,531,0,0,1,0,0,0,0,8,1.0,0,1.0
3000,5,245,0,0,1,0,0,0,0,30,0.0,1,1.0
6000,5,425,0,0,0,1,0,0,0,28,0.0,1,1.0
8000,7,344,0,0,1,0,0,0,0,14,1.0,0,1.0
6915,4,394,0,0,0,1,0,0,0,11,1.0,1,0.0
2800,4,337,1,0,0,0,0,0,0,15,1.0,1,1.0
5000,5,147,0,0,0,1,0,0,0,10,1.0,1,1.0
5000,7,300,0,0,0,0,0,1,1,20,1.0,0,1.0
2500,8,45,0,0,0,1,0,0,0,9,1.0,0,1.0
5000,5,236,0,0,0,0,0,1,0,12,0.0,1,0.0
3654,7,35,0,0,0,1,0,0,1,19,1.0,1,1.0
4000,4,250,1,0,0,0,0,0,1,12,1.0,1,1.0
3000,9,141,0,0,0,1,0,0,0,5,0.0,1,1.0
4500,6,331,1,0,0,0,0,0,1,20,1.0,1,1.0
5000,5,191,0,0,0,0,0,1,0,16,0.0,1,1.0
6800,6,232,1,0,0,0,0,0,0,17,1.0,1,1.0
4500,4,255,0,0,1,0,0,0,0,19,1.0,1,1.0
4000,5,204,1,0,0,0,0,0,0,15,1.0,1,1.0
4500,6,46,1,0,0,0,0,0,0,12,1.0,1,0.0
2000,6,134,0,0,0,1,0,0,0,10,1.0,1,1.0
9000,7,143,0,0,1,0,0,0,0,10,1.0,1,1.0
6000,5,178,0,0,0,1,0,0,1,16,0.0,1,1.0
5000,4,285,1,0,0,0,0,0,0,11,1.0,1,1.0
5000,6,163,0,0,0,1,0,0,0,11,1.0,1,1.0
2000,4,161,0,0,0,0,0,1,0,17,1.0,1,1.0
5000,5,68,0,0,1,0,0,0,1,17,1.0,1,1.0
3000,3,16,0,0,0,0,1,0,0,11,1.0,0,1.0
3000,6,199,0,1,0,0,0,0,0,8,1.0,0,1.0
650,4,16,0,0,0,0,1,0,0,13,1.0,1,1.0
6700,9,245,0,0,0,0,0,1,0,16,1.0,1,1.0
4200,4,297,0,0,0,0,0,1,0,15,1.0,1,1.0
4200,4,130,0,0,1,0,0,0,1,20,0.0,1,1.0
3000,5,75,0,0,0,0,0,1,0,14,1.0,1,1.0
3000,5,65,0,1,0,0,0,0,1,24,1.0,1,1.0
6000,5,251,0,0,1,0,0,0,0,15,1.0,1,1.0
5000,6,180,0,0,1,0,0,0,0,23,1.0,1,0.0
7500,5,257,0,0,0,1,0,0,1,17,1.0,1,1.0
3500,5,95,0,0,1,0,0,0,0,26,1.0,1,1.0
3000,6,33,0,0,0,1,0,0,1,20,1.0,1,1.0
2291,5,80,0,0,1,0,0,0,0,17,1.0,1,1.0
4000,7,239,1,0,0,0,0,0,1,30,0.0,1,1.0
3500,3,92,0,1,0,0,0,0,0,15,1.0,1,1.0
7000,8,119,0,0,0,1,0,0,0,17,1.0,1,1.0
3000,4,319,0,0,0,1,0,0,1,9,0.0,1,1.0
4000,2,294,0,0,1,0,0,0,1,19,0.0,1,1.0
10000,5,290,0,0,1,0,0,0,0,18,1.0,1,1.0
2100,6,17,0,0,1,0,0,0,0,19,1.0,0,1.0
