per_cost,travel_days,photo_num,person_num_三五好友,person_num_亲子,person_num_家庭,person_num_情侣,person_num_独自一人,person_num_闺蜜,is_weekend,title_length,z,playmode1,playmode2
2500,3,58,0,0,0,0,1,0,0,13,1.0,1,1.0
3500,4,180,1,0,0,0,0,0,0,8,1.0,1,1.0
3000,3,223,1,0,0,0,0,0,0,23,0.0,1,1.0
2395,5,414,0,0,0,1,0,0,1,16,1.0,1,1.0
3500,5,386,0,0,0,0,0,1,0,16,1.0,1,1.0
2900,4,161,1,0,0,0,0,0,0,14,1.0,1,1.0
3500,4,715,0,0,0,1,0,0,0,11,1.0,1,1.0
1300,4,221,0,0,0,0,0,1,0,9,1.0,1,1.0
1600,6,357,1,0,0,0,0,0,0,19,1.0,1,1.0
2800,5,129,1,0,0,0,0,0,0,14,1.0,1,1.0
2225,4,168,1,0,0,0,0,0,0,21,1.0,1,1.0
2000,4,506,1,0,0,0,0,0,0,11,1.0,1,1.0
2700,7,137,1,0,0,0,0,0,1,14,0.0,1,1.0
3500,3,106,0,0,0,1,0,0,1,18,1.0,0,1.0
1788,4,119,0,0,0,0,0,1,0,16,1.0,1,1.0
5000,6,269,0,0,0,1,0,0,0,18,1.0,1,1.0
3000,4,232,0,0,0,0,1,0,0,16,1.0,1,1.0
1000,3,102,1,0,0,0,0,0,0,28,0.0,1,1.0
1130,4,215,0,0,0,0,1,0,0,17,1.0,1,1.0
3190,6,168,0,0,0,1,0,0,0,8,1.0,1,1.0
3000,4,182,1,0,0,0,0,0,1,20,1.0,1,1.0
4000,6,353,0,0,0,1,0,0,0,15,1.0,0,1.0
4000,5,159,0,0,0,0,1,0,0,8,1.0,1,0.0
550,3,127,1,0,0,0,0,0,1,6,1.0,1,0.0
3000,7,215,1,0,0,0,0,0,0,11,1.0,1,0.0
1000,3,289,1,0,0,0,0,0,1,12,1.0,1,1.0
3000,5,386,1,0,0,0,0,0,0,18,0.0,1,1.0
2800,8,352,0,0,1,0,0,0,0,14,1.0,1,0.0
4800,3,159,0,0,0,0,0,1,0,11,1.0,1,0.0
2500,6,224,1,0,0,0,0,0,1,15,1.0,1,1.0
2700,3,114,0,0,0,0,0,1,0,18,1.0,1,1.0
2100,5,109,1,0,0,0,0,0,0,16,1.0,1,1.0
4000,9,275,1,0,0,0,0,0,1,16,0.0,1,1.0
893,4,225,0,0,1,0,0,0,1,14,1.0,1,1.0
3000,5,304,0,0,0,1,0,0,0,18,1.0,1,1.0
3000,5,90,0,0,0,0,0,1,0,7,1.0,1,1.0
3000,6,184,0,0,0,0,0,1,1,11,0.0,1,1.0
8000,8,258,0,0,1,0,0,0,1,22,1.0,1,1.0
2000,4,267,1,0,0,0,0,0,0,19,1.0,1,1.0
900,4,105,0,0,0,1,0,0,0,10,1.0,1,1.0
4000,7,382,0,0,0,0,0,1,0,10,1.0,1,1.0
2500,4,219,1,0,0,0,0,0,0,21,1.0,0,1.0
2000,1,234,0,1,0,0,0,0,0,29,1.0,0,1.0
3000,3,283,1,0,0,0,0,0,0,34,1.0,1,1.0
3000,3,20,1,0,0,0,0,0,0,7,1.0,0,1.0
2676,5,136,0,1,0,0,0,0,0,39,1.0,1,1.0
3336,5,108,0,0,0,0,1,0,1,15,1.0,1,1.0
2000,4,176,1,0,0,0,0,0,0,13,0.0,0,1.0
2500,4,443,1,0,0,0,0,0,0,19,1.0,1,1.0
1500,3,251,1,0,0,0,0,0,1,20,0.0,1,0.0
3000,4,140,1,0,0,0,0,0,0,15,1.0,0,1.0
1900,5,138,0,0,0,0,1,0,1,10,1.0,1,1.0
10000,5,291,0,1,0,0,0,0,0,22,1.0,1,1.0
2000,3,120,0,0,0,0,1,0,1,6,1.0,0,1.0
2000,5,260,0,0,0,1,0,0,0,15,1.0,1,1.0
3000,7,245,1,0,0,0,0,0,0,17,1.0,1,1.0
2500,4,98,0,0,0,0,1,0,0,18,1.0,1,0.0
3626,6,130,0,0,0,0,1,0,1,8,1.0,1,0.0
2000,9,307,0,0,0,0,1,0,0,13,1.0,1,1.0
3000,3,211,0,0,0,0,0,1,0,31,1.0,1,1.0
5500,4,218,0,0,1,0,0,0,0,17,1.0,1,1.0
2000,5,123,1,0,0,0,0,0,1,17,1.0,1,1.0
2000,1,126,0,0,0,0,0,1,0,6,1.0,1,1.0
900,3,188,0,0,0,0,0,1,0,11,0.0,1,1.0
3000,5,344,0,1,0,0,0,0,0,21,1.0,1,1.0
3000,1,208,1,0,0,0,0,0,0,20,0.0,1,1.0
2500,4,99,1,0,0,0,0,0,0,9,0.0,1,1.0
1084,4,331,0,0,1,0,0,0,0,5,1.0,1,1.0
3500,4,189,0,0,0,0,0,1,0,18,1.0,1,1.0
3500,5,105,1,0,0,0,0,0,0,19,1.0,1,1.0
2500,1,159,0,0,1,0,0,0,0,12,0.0,0,1.0
3000,6,365,0,0,0,0,0,1,0,9,0.0,0,1.0
2500,4,149,1,0,0,0,0,0,0,13,1.0,1,0.0
1000,1,30,0,0,0,1,0,0,1,19,1.0,1,0.0
1800,4,191,0,0,0,0,1,0,0,27,1.0,1,1.0
2500,5,110,0,0,0,1,0,0,0,8,1.0,1,1.0
2000,3,252,0,0,0,0,1,0,0,5,1.0,1,1.0
1000,3,229,0,0,0,1,0,0,1,11,1.0,1,1.0
2500,7,136,0,0,0,0,1,0,0,10,1.0,0,1.0
870,3,265,1,0,0,0,0,0,1,11,0.0,1,0.0
3500,4,354,1,0,0,0,0,0,0,29,1.0,1,1.0
2500,5,337,1,0,0,0,0,0,0,22,1.0,1,1.0
3000,4,209,1,0,0,0,0,0,1,11,0.0,0,1.0
1700,5,134,0,0,0,0,0,1,0,17,1.0,1,1.0
1000,4,273,0,0,0,0,0,0,0,18,0.0,1,1.0
800,5,145,1,0,0,0,0,0,1,9,1.0,1,0.0
2970,6,121,0,0,0,0,1,0,0,18,0.0,1,1.0
2600,5,175,0,0,0,0,1,0,0,15,1.0,1,1.0
2600,4,151,0,0,0,1,0,0,0,7,0.0,1,0.0
4000,6,165,0,1,0,0,0,0,1,11,0.0,1,0.0
1020,4,44,0,0,0,0,0,1,0,15,1.0,0,1.0
700,3,104,0,0,0,0,1,0,1,8,0.0,0,1.0
3000,5,111,0,0,0,1,0,0,0,11,0.0,0,1.0
3000,4,166,1,0,0,0,0,0,0,11,1.0,1,0.0
2300,3,117,0,1,0,0,0,0,1,13,1.0,1,1.0
7000,5,247,0,0,0,1,0,0,0,15,1.0,1,1.0
3000,5,218,0,0,0,0,1,0,0,11,0.0,1,1.0
2000,7,136,0,1,0,0,0,0,1,11,1.0,1,1.0
2056,5,158,0,0,1,0,0,0,1,10,0.0,1,1.0
2700,4,168,0,0,0,1,0,0,0,14,1.0,0,1.0
3500,4,162,1,0,0,0,0,0,0,4,0.0,1,1.0
3000,5,75,0,0,0,0,1,0,0,12,1.0,1,1.0
2000,4,96,1,0,0,0,0,0,1,18,0.0,0,1.0
2300,3,140,0,0,1,0,0,0,0,11,1.0,1,1.0
1200,3,96,0,0,0,0,0,1,0,13,0.0,1,1.0
1300,5,64,1,0,0,0,0,0,0,9,0.0,0,1.0
2500,4,137,0,1,0,0,0,0,0,22,1.0,1,1.0
700,4,57,0,0,0,0,0,1,0,9,0.0,1,1.0
4500,8,83,0,0,0,1,0,0,0,14,1.0,1,1.0
2000,4,74,0,0,1,0,0,0,0,17,0.0,1,1.0
2000,7,179,0,1,0,0,0,0,1,9,1.0,1,1.0
1800,4,57,1,0,0,0,0,0,0,12,1.0,1,1.0
2000,5,111,0,0,0,0,0,1,0,17,0.0,1,1.0
2000,4,86,0,0,0,1,0,0,0,14,0.0,1,0.0
1400,5,55,0,0,0,1,0,0,0,19,1.0,0,1.0
2200,5,138,0,0,1,0,0,0,1,8,1.0,0,1.0
1000,5,35,0,0,0,0,1,0,0,13,1.0,1,1.0
3043,5,198,1,0,0,0,0,0,1,10,0.0,1,1.0
4000,5,282,0,0,0,0,0,1,0,23,1.0,1,1.0
500,5,21,1,0,0,0,0,0,1,10,0.0,0,1.0
1800,5,107,0,0,0,1,0,0,0,15,1.0,1,1.0
1500,4,144,0,0,0,0,1,0,0,9,1.0,1,1.0
9000,6,157,0,0,1,0,0,0,0,17,0.0,1,1.0
3500,6,93,0,1,0,0,0,0,0,18,1.0,0,1.0
2500,4,59,0,0,0,0,0,1,0,9,0.0,0,1.0
3020,3,62,0,0,0,1,0,0,0,16,0.0,1,0.0
5000,4,128,0,0,0,1,0,0,0,12,0.0,1,1.0
2300,4,200,1,0,0,0,0,0,0,19,0.0,1,1.0
1800,6,92,0,0,0,1,0,0,0,12,0.0,1,1.0
1000,5,165,0,0,0,0,1,0,1,8,0.0,0,1.0
2000,5,74,1,0,0,0,0,0,0,17,0.0,0,1.0
2000,3,226,1,0,0,0,0,0,0,7,0.0,1,1.0
2500,4,65,0,0,1,0,0,0,0,20,1.0,1,1.0
4000,5,68,0,1,0,0,0,0,0,14,1.0,1,0.0
3500,3,117,1,0,0,0,0,0,0,10,1.0,0,1.0
3300,7,96,0,0,0,0,0,1,0,14,1.0,1,0.0
600,3,210,0,1,0,0,0,0,1,32,1.0,1,1.0
2000,6,256,1,0,0,0,0,0,0,7,0.0,1,1.0
2700,5,302,1,0,0,0,0,0,0,7,1.0,1,0.0
4000,3,224,0,1,0,0,0,0,0,25,1.0,1,1.0
1300,6,256,0,0,0,0,1,0,0,19,1.0,1,1.0
2500,4,75,0,0,0,0,0,1,0,12,0.0,0,1.0
2000,5,124,0,0,0,0,0,1,1,5,0.0,0,1.0
2000,5,28,0,0,0,0,1,0,1,4,0.0,0,1.0
2300,6,55,0,1,0,0,0,0,1,13,0.0,0,1.0
3200,4,27,0,0,0,1,0,0,1,9,0.0,1,1.0
3000,4,80,0,0,0,0,1,0,1,15,0.0,0,1.0
