read_num_transformed,per_cost,travel_days,photo_num,person_num_三五好友,person_num_亲子,person_num_家庭,person_num_情侣,person_num_独自一人,person_num_闺蜜,is_weekend,title_length,playmode1,playmode2
461000.0,3500,4,180,1,0,0,0,0,0,0,8,1,1.0
31000.0,2000,4,506,1,0,0,0,0,0,0,11,1,1.0
35000.0,3000,7,215,1,0,0,0,0,0,0,11,1,0.0
11000.0,3000,4,140,1,0,0,0,0,0,0,15,0,1.0
19000.0,3500,5,105,1,0,0,0,0,0,0,19,1,1.0
6517.0,3000,6,365,0,0,0,0,0,1,0,9,0,1.0
7640.0,2500,7,136,0,0,0,0,1,0,0,10,0,1.0
3244.0,2600,4,151,0,0,0,1,0,0,0,7,1,0.0
6332.0,700,3,104,0,0,0,0,1,0,1,8,0,1.0
32000.0,3000,4,166,1,0,0,0,0,0,0,11,1,0.0
12000.0,1200,3,96,0,0,0,0,0,1,0,13,1,1.0
2252.0,700,4,57,0,0,0,0,0,1,0,9,1,1.0
6819.0,1400,5,55,0,0,0,1,0,0,0,19,0,1.0
5081.0,2500,4,65,0,0,1,0,0,0,0,20,1,1.0
18000.0,4000,5,68,0,1,0,0,0,0,0,14,1,0.0
13000.0,3300,7,96,0,0,0,0,0,1,0,14,1,0.0
3313.0,2000,5,124,0,0,0,0,0,1,1,5,0,1.0
12000.0,2000,5,96,0,0,0,1,0,0,0,20,1,1.0
7002.0,2700,4,87,0,0,0,1,0,0,0,13,1,0.0
4383.0,4500,6,186,1,0,0,0,0,0,0,9,1,0.0
4637.0,1500,4,65,1,0,0,0,0,0,0,10,1,0.0
15000.0,500,5,79,1,0,0,0,0,0,0,10,1,1.0
6488.0,2300,3,55,0,0,0,0,0,1,0,9,0,1.0
3134.0,3563,7,95,1,0,0,0,0,0,0,9,1,1.0
4707.0,1600,4,67,0,0,0,0,0,1,0,7,1,0.0
3799.0,3200,3,80,0,0,0,0,1,0,0,5,1,1.0
2638.0,1500,4,62,0,0,1,0,0,0,1,10,1,0.0
4479.0,1400,3,40,0,0,0,1,0,0,0,19,1,0.0
9742.0,1000,2,55,0,0,0,1,0,0,1,12,1,1.0
4013.0,1500,4,148,0,1,0,0,0,0,1,10,0,1.0
1948.0,1700,5,43,0,0,0,0,1,0,0,13,1,1.0
2438.0,2200,4,100,1,0,0,0,0,0,0,8,1,1.0
3521.0,1709,5,117,0,0,0,0,1,0,0,7,1,0.0
4600.0,1800,5,94,0,0,1,0,0,0,0,18,1,1.0
1926.0,2000,5,14,0,0,0,0,0,1,1,5,0,1.0
2544.0,1600,4,127,0,0,0,0,1,0,1,11,1,0.0
2755.0,3000,4,23,0,0,0,1,0,0,1,5,0,1.0
3356.0,1400,4,74,0,0,0,0,1,0,0,4,1,1.0
8336.0,300,1,57,1,0,0,0,0,0,1,16,1,1.0
4310.0,2000,1,84,1,0,0,0,0,0,0,11,1,0.0
4772.0,2000,3,55,0,0,1,0,0,0,1,14,0,1.0
