地点,read_num_transformed,per_cost,travel_days,photo_num,playmode_万圣节,playmode_中秋节,playmode_五一,playmode_人文,playmode_冬季,playmode_古镇,playmode_国庆,playmode_圣诞,playmode_夏季,playmode_婚纱,playmode_寒假,playmode_徒步,playmode_探险,playmode_摄影,playmode_春节,playmode_暑假,playmode_毕业游,playmode_海滨海岛,playmode_深度游,playmode_清明,playmode_温泉,playmode_游轮,playmode_滑雪,playmode_漫游,playmode_潜水,playmode_环游,playmode_登山,playmode_短途周末,playmode_穷游,playmode_端午,playmode_第一次,playmode_美食,playmode_自驾,playmode_蜜月,playmode_购物,playmode_赏枫,playmode_赏樱,playmode_赏秋,playmode_跨年,playmode_踏春,playmode_骑行,person_num_三五好友,person_num_亲子,person_num_学生,person_num_家庭,person_num_情侣,person_num_独自一人,person_num_闺蜜,dayofweek,is_weekend,month,season,title_length,z
厦门,9007.0,3000,3,223,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,9,3,23,0.0
厦门,8695.0,2700,7,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,6,2,14,0.0
厦门,12000.0,1000,3,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,3,28,0.0
厦门,11000.0,2700,3,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,2,18,1.0
厦门,8005.0,2100,5,109,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,6,2,16,1.0
厦门,10000.0,3000,5,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,4,1,18,1.0
厦门,10000.0,3000,5,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,10,3,7,1.0
厦门,9711.0,2676,5,136,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,6,2,39,1.0
厦门,11000.0,3000,4,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,7,2,15,1.0
厦门,11000.0,1900,5,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,12,4,10,1.0
