travel_days,photo_num,person_num_qinzi,title_length,playmode1,playmode2,read_num_transformed
-0.236350849,0.965414891,0,-0.83153805,1,1,13.04115332
-0.236350849,4.408446474,0,-0.246124139,1,1,10.34174248
1.098274138,1.335065521,0,-0.246124139,1,0,10.46310334
-0.236350849,0.542957028,0,0.534427743,0,1,9.305650552
0.208524147,0.173306398,0,1.314979626,1,1,9.852194258
0.653399142,2.919282507,0,-0.63640008,0,1,8.782169426
1.098274138,0.500711241,0,-0.441262109,0,1,8.941152882
-0.236350849,0.65913294,0,-1.026676021,1,0,8.084562415
-0.681225844,0.162744951,0,-0.83153805,0,1,8.753371421
-0.236350849,0.817554639,0,-0.246124139,1,0,10.37349118
-0.681225844,0.078253378,0,0.144151802,1,1,9.392661929
-0.236350849,-0.333643038,0,-0.63640008,1,1,7.719573989
0.208524147,-0.354765931,0,1.314979626,0,1,8.827468113
-0.236350849,-0.249151465,0,1.510117596,1,1,8.533263372
0.208524147,-0.217467126,1,0.339289773,1,0,9.798127037
1.098274138,0.078253378,0,0.339289773,1,0,9.472704636
0.208524147,0.373973883,0,-1.416951962,0,1,8.105609402
0.208524147,0.078253378,0,1.510117596,1,1,9.392661929
-0.236350849,-0.016799641,0,0.144151802,1,0,8.853951102
0.653399142,1.02878357,0,-0.63640008,1,0,8.3854887
-0.236350849,-0.249151465,0,-0.441262109,1,0,8.441822884
0.208524147,-0.101291213,0,-0.441262109,1,1,9.61580548
-0.681225844,-0.354765931,0,-0.63640008,0,1,8.777709596
1.098274138,0.067691932,0,-0.63640008,1,1,8.050065423
-0.236350849,-0.228028572,0,-1.026676021,1,0,8.456806041
-0.681225844,-0.090729767,0,-1.416951962,1,1,8.242493153
-0.236350849,-0.280835805,0,-0.441262109,1,0,7.877776333
-0.681225844,-0.51318763,0,1.314979626,1,0,8.407155086
-1.12610084,-0.354765931,0,-0.050986168,1,1,9.184201714
-0.236350849,0.6274486,1,-0.441262109,0,1,8.29729437
0.208524147,-0.48150329,0,0.144151802,1,1,7.574558484
-0.236350849,0.120499165,0,-0.83153805,1,1,7.79893331
0.208524147,0.300043757,0,-1.026676021,1,0,8.166500319
0.208524147,0.057130485,0,1.119841655,1,1,8.433811582
0.208524147,-0.787785241,0,-1.416951962,0,1,7.563200592
-0.236350849,0.405658222,0,-0.246124139,1,0,7.841492924
-0.236350849,-0.692732221,0,-1.416951962,0,1,7.921172722
-0.236350849,-0.154098446,0,-1.612089932,1,1,8.118505068
-1.570975835,-0.333643038,0,0.729565714,1,1,9.028338764
-1.570975835,-0.04848398,0,-0.246124139,1,0,8.368693183
-0.681225844,-0.354765931,0,0.339289773,0,1,8.470520783
0.653399142,1.884260743,0,-1.416951962,0,1,7.556950572
-0.236350849,-0.143537,0,-0.246124139,0,1,8.409830673
-0.681225844,-0.386450271,0,-0.83153805,1,1,8.169336396
0.208524147,-0.88283826,0,-0.441262109,1,1,8.736971085
-1.12610084,-0.323081591,0,1.119841655,1,1,11.14186178
-0.236350849,-0.397011717,0,0.534427743,0,1,7.931644021
-0.236350849,-0.365327378,0,0.729565714,1,1,8.963160243
-1.570975835,-0.175221339,0,-0.83153805,1,1,7.764720545
0.208524147,-0.587117756,0,-1.416951962,1,0,7.564238475
0.653399142,-0.830031027,0,-0.63640008,1,1,8.086410275
-1.12610084,-0.81946958,0,0.144151802,1,1,7.565793282
-1.12610084,-0.766662347,0,-0.246124139,0,1,8.782629655
0.208524147,0.194429291,0,-1.221813991,0,1,8.035278911
-0.236350849,0.521834135,0,-1.416951962,1,1,7.599901959
0.208524147,-0.650486435,0,0.729565714,1,1,8.037543185
0.208524147,-0.44981895,1,-1.416951962,1,1,8.304247465
-0.681225844,-0.671609328,0,-0.63640008,0,1,7.997663127
-0.236350849,-0.523749076,0,0.144151802,0,1,8.174139343
0.208524147,-0.914522599,0,-1.612089932,0,1,7.519692404
-0.236350849,-0.808908134,0,1.314979626,1,1,8.189799619
-0.681225844,0.278920863,1,1.900393537,1,1,6.675823222
-0.681225844,-0.534310523,0,0.339289773,0,1,8.281977059
-0.236350849,-0.016799641,0,0.924703684,1,1,8.169336396
-1.12610084,-0.777223794,0,-0.050986168,1,0,8.981052986
0.208524147,-0.618802095,0,-1.026676021,1,1,7.905441649
0.208524147,-0.523749076,0,-0.246124139,1,1,7.719573989
-1.12610084,-0.724416561,0,0.729565714,0,1,8.974111581
0.208524147,-0.439257504,0,-0.050986168,1,1,8.035602693
0.653399142,-0.323081591,0,0.534427743,1,0,7.701200181
-0.681225844,-0.756100901,0,-0.050986168,1,0,7.360103973
-0.236350849,-0.787785241,0,0.144151802,1,1,7.368339686
-0.236350849,-0.280835805,1,-0.83153805,1,0,7.789454566
-0.236350849,-0.523749076,0,1.314979626,0,1,7.632885505
0.653399142,-0.016799641,0,-0.63640008,0,1,7.685703061
0.208524147,-0.354765931,0,-1.221813991,1,1,7.603897969
-0.681225844,-0.460380397,0,-0.050986168,1,1,8.125926803
-0.681225844,-0.470941843,0,-0.441262109,1,1,7.942717541
0.208524147,-0.059045427,0,-1.416951962,1,1,7.961370202
0.208524147,-0.523749076,0,-1.026676021,0,1,7.686162303
-0.236350849,-0.407573164,0,-0.246124139,1,0,8.175266104
-0.681225844,-0.682170775,1,1.119841655,0,1,8.652772486
-0.681225844,-0.386450271,0,-0.83153805,0,1,8.603921195
0.653399142,-0.734978008,0,-0.246124139,1,1,7.5416831
-0.681225844,-0.428696057,0,-0.63640008,1,1,7.866338923
-0.236350849,-0.492064737,0,0.534427743,1,0,7.190676034
-1.12610084,-0.650486435,0,-0.246124139,0,1,8.23562572
-0.236350849,-0.745539454,0,-1.026676021,0,1,7.81197343
-1.12610084,-0.830031027,0,0.534427743,1,0,7.71154898
-2.015850831,-0.756100901,0,-0.441262109,1,1,7.094234846
0.653399142,-0.935645493,0,-0.050986168,1,1,7.347299701
-1.570975835,-0.333643038,0,-0.63640008,1,0,7.909489493
-0.681225844,-0.787785241,0,0.144151802,0,1,7.242797923
-0.681225844,-0.682170775,0,1.119841655,0,1,8.498010372
-0.236350849,-0.671609328,0,-1.026676021,1,0,8.815815204
-0.681225844,-0.798346687,0,-1.416951962,0,1,7.397561536
-0.236350849,-0.597679202,0,-1.416951962,0,1,7.273092596
-0.236350849,-0.661047882,0,-0.246124139,0,1,8.083945702
-0.681225844,-0.903961153,0,-0.83153805,1,0,6.689599269
-1.570975835,-0.925084046,0,-0.441262109,0,1,6.964135612
-0.236350849,-0.88283826,0,0.729565714,1,0,7.063903961
-0.236350849,-0.81946958,0,-1.416951962,1,0,7.143617603
-0.681225844,-0.830031027,0,-1.026676021,1,0,8.59396903
-1.12610084,-0.798346687,0,1.510117596,1,0,7.458186157
-0.681225844,-0.798346687,0,0.144151802,1,0,9.903487553
-0.681225844,-0.777223794,0,-0.441262109,1,1,8.937612591
-0.236350849,-0.41813461,0,-0.246124139,0,1,7.115582126
-1.570975835,-0.734978008,0,-0.83153805,0,1,8.246958033
0.208524147,-0.935645493,1,-0.441262109,0,1,8.301769763
-2.015850831,-0.935645493,0,-0.83153805,0,1,7.427144133
-0.681225844,-0.756100901,0,-0.246124139,1,1,7.501634458
-0.236350849,2.1694198,0,0.534427743,1,1,9.392661929
-0.236350849,-0.830031027,0,-1.612089932,0,1,6.792344427
0.208524147,4.535183833,0,0.729565714,1,1,8.491875383
-0.681225844,-0.650486435,0,0.144151802,1,1,8.538758969
0.208524147,0.785870299,0,0.144151802,1,1,10.23995979
-0.681225844,-0.745539454,0,1.119841655,1,0,7.764720545
0.653399142,-0.48150329,0,-0.83153805,0,1,8.029107055
0.653399142,4.366200688,0,0.534427743,1,1,11.2515607
1.543149133,2.750299362,1,0.144151802,0,1,10.96819829
-0.681225844,1.366749861,0,-0.246124139,1,1,9.903487553
1.543149133,1.567417345,0,1.510117596,1,0,8.84332645
-0.681225844,1.007660677,0,2.095531508,1,1,8.725669706
-0.236350849,2.074366781,0,1.119841655,0,1,8.02289687
1.543149133,1.356188414,0,1.510117596,1,1,9.546812609
1.098274138,1.556855899,1,-0.050986168,1,1,8.865029187
-0.681225844,1.250573948,0,-0.246124139,1,1,10.04324949
-0.236350849,2.475701751,1,1.314979626,0,1,10.04324949
1.543149133,1.894822189,1,1.314979626,1,1,10.04324949
0.208524147,0.469026902,0,1.510117596,1,1,8.978156076
0.208524147,0.965414891,0,-0.050986168,0,1,8.887928819
0.208524147,0.574641367,0,1.119841655,0,1,9.852194258
0.208524147,-0.386450271,0,-0.246124139,1,1,8.02289687
-2.015850831,-0.301958698,0,-1.416951962,1,1,8.771680359
0.653399142,0.099376272,0,1.314979626,0,1,8.29729437
0.653399142,1.535733006,0,-0.441262109,1,1,7.96797318
1.098274138,0.131060611,1,1.314979626,1,1,8.700014623
1.098274138,-0.344204484,0,0.144151802,1,0,10.04324949
1.098274138,-0.291397252,0,1.314979626,1,1,8.654865997
0.208524147,0.405658222,0,1.510117596,0,1,9.546812609
-0.236350849,0.6274486,0,0.534427743,1,1,8.440312147
1.098274138,0.204990737,1,1.314979626,0,1,8.413165121
1.098274138,-0.365327378,0,-0.63640008,0,1,7.911690521
1.098274138,1.588540239,0,3.461497301,1,1,9.060331105
-0.236350849,1.197766715,0,-0.441262109,1,0,9.546812609
-0.236350849,-0.713855115,1,-0.441262109,0,1,8.908153613
-0.681225844,-0.51318763,0,0.729565714,0,1,10.16585182
1.543149133,-0.745539454,0,1.119841655,0,1,8.410943392
1.098274138,0.300043757,0,0.924703684,1,1,8.330863613
1.098274138,-0.301958698,0,0.534427743,1,1,7.557994959
0.653399142,-0.375888824,0,-0.63640008,0,1,8.676075516
0.208524147,-0.238590019,0,0.924703684,1,1,8.545391846
0.208524147,1.377311307,0,-0.441262109,1,0,8.579604452
-0.236350849,-0.597679202,0,1.314979626,1,1,9.305650552
-0.681225844,-0.344204484,0,-1.026676021,0,1,8.54694615
-0.236350849,0.817554639,0,-0.050986168,0,1,8.391176351
-0.236350849,-0.016799641,0,1.510117596,0,1,7.858254182
0.653399142,-0.397011717,1,1.314979626,1,1,8.649623979
1.098274138,0.891484765,0,0.729565714,1,1,8.211211362
0.653399142,-0.470941843,0,1.510117596,0,1,9.740968623
-0.236350849,-0.291397252,0,0.729565714,0,1,7.384610383
-1.570975835,0.004323252,0,0.729565714,1,0,8.878358041
-0.681225844,-0.523749076,0,0.534427743,0,1,8.547722396
0.208524147,0.954853444,0,-1.807227903,0,1,7.944492164
0.653399142,0.078253378,0,-2.002365873,0,1,8.498010372
0.208524147,0.384535329,0,0.534427743,1,1,8.249313746
0.653399142,0.743624513,0,-1.026676021,0,1,7.933079772
0.653399142,-0.386450271,0,1.510117596,0,1,7.918628653
0.208524147,-0.587117756,0,0.144151802,0,1,7.412160335
-0.236350849,-0.576556309,0,1.510117596,0,1,8.030084094
-0.681225844,-0.270274358,0,1.510117596,1,0,7.595387279
0.208524147,-0.365327378,0,-1.026676021,1,0,9.852194258
-1.12610084,-0.04848398,0,0.534427743,0,1,8.517593111
-1.12610084,-0.671609328,0,-0.246124139,0,1,8.443115988
-0.681225844,0.310605203,0,-1.026676021,0,1,8.63212773
-0.236350849,-0.48150329,1,1.510117596,1,1,11.71177632
1.098274138,0.32116665,1,-1.612089932,1,1,10.49127422
0.208524147,-0.238590019,0,-1.026676021,1,1,7.998671361
0.208524147,-0.164659893,0,0.534427743,1,1,7.89469085
1.543149133,-0.724416561,1,0.924703684,1,0,7.342779189
-1.12610084,-0.724416561,0,-0.246124139,0,1,7.397561536
0.208524147,-0.354765931,0,1.510117596,1,1,7.586803535
0.653399142,-0.08016832,0,1.314979626,1,1,7.534762657
-1.12610084,-0.534310523,0,0.339289773,0,1,7.31986493
-1.12610084,-0.04848398,0,-0.441262109,0,1,7.391415235
-0.236350849,-0.196344232,0,1.119841655,0,1,7.63385356
0.208524147,-0.037922534,1,1.510117596,0,1,8.154500175
0.653399142,-0.143537,0,-0.441262109,0,1,8.033009499
1.098274138,-0.407573164,0,1.510117596,0,1,7.745002804
0.208524147,-0.175221339,0,-0.63640008,0,1,8.192293731
0.653399142,-0.51318763,0,1.314979626,0,1,7.884199934
-0.236350849,-0.576556309,0,-1.612089932,1,0,7.389563954
-0.236350849,-0.132975553,0,-0.83153805,0,1,8.691314552
-0.236350849,0.194429291,0,-1.026676021,1,1,8.854379459
0.653399142,-0.618802095,0,-1.612089932,1,0,7.703459048
0.208524147,-0.470941843,0,1.314979626,0,1,7.6118424
0.653399142,-0.534310523,0,0.339289773,0,1,7.707961532
0.653399142,-0.692732221,1,0.729565714,0,1,7.802209316
-0.681225844,-0.639924989,0,0.534427743,1,0,8.02975852
-1.570975835,-0.787785241,1,-1.416951962,1,0,7.333676396
0.653399142,0.078253378,0,-1.416951962,0,1,7.708410667
1.988024129,2.496824644,0,-0.63640008,0,1,9.740968623
1.098274138,0.975976337,0,-0.050986168,1,1,9.952277717
-0.236350849,0.373973883,0,1.314979626,1,1,10.40426284
1.543149133,1.218889609,0,0.144151802,1,1,10.23995979
1.098274138,0.162744951,0,1.510117596,0,1,10.20359214
